File,Total Changes,Number of Contributors,Contributors
package.json,733,114,"Lauren Tan, Ricky, Risto Keravuori, Jon Jensen, Ruslan Lesiutin, Sebastian Markbåge, Sebastian Silbermann, Andrew Clark, Josh Story, Jan Kassens, PrathamLalwani, Anatolii Kurochkin, Rubén Norte, Mark Erikson, Glenn 'devalias' Grant, Ming Ye, Mengdi Chen, Luna Ruan, Mengdi ""Monday"" Chen, Dan Abramov, Ives van Hoorne, jstejada, Brian Vaughn, irinakk, Michaël De Boey, Justus Hämäläinen, oltrep, E-Liang Tan, Bhumij Gupta, Pascal Fong Kye, Toru Kobayashi, Nick Reiley, dependabot[bot], Dominic Gannaway, Kerollos Magdy, Kunuk Nykjær, Sunil Pai, Nicolas Gallagher, Simen Bekkhus, Bogdan, Jason Williams, lunaruan, Sarhan Aissi, Frank Calise, Dan, Farhad Yasir, Michael Orishich, Ilja Daderko, Brian Ng, Esteban, Bartosz Kaszubowski, Johan Henriksson, dongyuwei, Philipp Spieß, Sophie Alpert, Maël Nison, Orta, Raphael Amorim, Jack Hou, Yu Tian, Artem Fitiskin, Clement Hoang, Adrian Carolli, Soo Jae Hwang, Joe Lim, Flarnie Marchan, Martin V, Sasha Aickin, Michael Ridgway, Dustan Kasten, Ben Alpert, Sebastian Markbage, Michał Pierzchała, Jon Bretman, Evan Scott, Tom Occhino, Maksim Shastsel, Sergey Rubanov, Dmitrii Abramov, Christopher Chedeau, Paul O’Shannessy, Keyan Zhang, Marshall Bowers, chico, Ryan Lahfa, cpojer, Raito Bezarius, Christoffer Sawicki, Jason Quense, Sebastian McKenzie, John-David Dalton, Timothy Yung, Cameron Matheson, Jim, Benjamin Woodruff, Baraa Hamodi, Reed Loden, Andres Suarez, Gabe Levi, Artem Nezvigin, fisherwebdev, jeffmo, ShihChi Huang, Zacharias, Cheng Lou, Ben Newman, Ingvar Stepanyan, Andrey Popp, JeffMo, Pete Hunt, Thomas Aylott, petehunt, Andreas Svensson, Zach Bruggeman"
packages/shared/forks/ReactFeatureFlags.www.js,384,42,"Jack Pope, Jan Kassens, Dmytro Rykun, Sebastian Markbåge, Andrew Clark, Ricky, Joseph Savona, Andrey Lunyov, Josh Story, Sebastian Silbermann, Timothy Yung, Rubén Norte, Noah Lemen, dan, Pieter De Baets, Sophie Alpert, Tianyu Yao, Samuel Susla, an onion, Lauren Tan, Luna Ruan, salazarm, David McCabe, Dan Abramov, Joey Arhar, Brian Vaughn, Benoit Girard, Rick Hanlon, Philipp Spiess, Dominic Gannaway, E-Liang Tan, Eli White, Sunil Pai, Emanuel Tesař, lunaruan, Ricky Vetter, Kevin Chavez, Nathan Hunzaker, Héctor Ramos, Alex Taylor, Flarnie Marchan, Chang Yan"
yarn.lock,369,66,"dependabot[bot], Ricky, Ruslan Lesiutin, Jon Jensen, Sebastian Markbåge, Sebastian Silbermann, Andrew Clark, Jan Kassens, Jack Pope, PrathamLalwani, Anatolii Kurochkin, Rubén Norte, dan, Mark Erikson, Mengdi Chen, Glenn 'devalias' Grant, Ming Ye, Timothy Yung, Michael サイトー 中村 Bashurov, jstejada, irinakk, Michaël De Boey, Brian Vaughn, Juan, Ilham Syahid S, Lucas Correia, Jaiwanth, Minh Nguyen, oltrep, E-Liang Tan, Bhumij Gupta, Pascal Fong Kye, Dan Abramov, Gianmarco, Toru Kobayashi, Sophie Alpert, Haseeb Furkhan Mohammed, Kunuk Nykjær, Sunil Pai, Nicolas Gallagher, Simen Bekkhus, lunaruan, Sarhan Aissi, Dan, Michael Orishich, Brian Ng, Esteban, Bartosz Kaszubowski, Johan Henriksson, Philipp Spieß, Maël Nison, Orta, Raphael Amorim, Yu Tian, Soo Jae Hwang, Clement Hoang, Flarnie Marchan, Dominic Gannaway, Michael Ridgway, Dustan Kasten, Ben Alpert, Sebastian Markbage, Michał Pierzchała, Jon Bretman, Evan Scott, Tom Occhino"
packages/shared/ReactFeatureFlags.js,368,45,"Jack Pope, Dmytro Rykun, Sebastian Markbåge, Jan Kassens, Andrew Clark, Josh Story, Joseph Savona, Andrey Lunyov, Ricky, Sebastian Silbermann, Timothy Yung, Rubén Norte, Noah Lemen, dan, Tianyu Yao, Pieter De Baets, Sophie Alpert, Samuel Susla, mofeiZ, Vic Graf, Lauren Tan, salazarm, David McCabe, Dan Abramov, Luna Ruan, Joey Arhar, Brian Vaughn, Benoit Girard, Rick Hanlon, Philipp Spiess, Dominic Gannaway, E-Liang Tan, Eli White, adasq, Sunil Pai, Emanuel Tesař, lunaruan, Ricky Vetter, Kevin Chavez, Nathan Hunzaker, Héctor Ramos, Alex Taylor, Flarnie Marchan, Chang Yan, Clement Hoang"
packages/shared/forks/ReactFeatureFlags.native-fb.js,333,42,"Timothy Yung, Jack Pope, Dmytro Rykun, Sebastian Markbåge, Jan Kassens, Andrew Clark, Joseph Savona, Andrey Lunyov, Ricky, Josh Story, Sebastian Silbermann, Rubén Norte, Noah Lemen, dan, Samuel Susla, Tianyu Yao, Pieter De Baets, Sophie Alpert, Lauren Tan, salazarm, David McCabe, Dan Abramov, Luna Ruan, Joey Arhar, Brian Vaughn, Benoit Girard, Rick Hanlon, Philipp Spiess, Dominic Gannaway, E-Liang Tan, Eli White, Sunil Pai, Emanuel Tesař, lunaruan, James Ide, Ricky Vetter, Kevin Chavez, Nathan Hunzaker, Héctor Ramos, Alex Taylor, Flarnie Marchan, Chang Yan"
packages/shared/forks/ReactFeatureFlags.test-renderer.js,319,42,"Jack Pope, Dmytro Rykun, Sebastian Markbåge, Jan Kassens, Andrew Clark, Joseph Savona, Andrey Lunyov, Ricky, Josh Story, Sebastian Silbermann, Timothy Yung, Rubén Norte, Noah Lemen, dan, Pieter De Baets, Sophie Alpert, Tianyu Yao, lauren, Samuel Susla, Lauren Tan, salazarm, David McCabe, Dan Abramov, Luna Ruan, Joey Arhar, Brian Vaughn, Benoit Girard, Rick Hanlon, Philipp Spiess, Dominic Gannaway, E-Liang Tan, Eli White, Sunil Pai, Emanuel Tesař, lunaruan, Ricky Vetter, Kevin Chavez, Nathan Hunzaker, Héctor Ramos, Alex Taylor, Flarnie Marchan, Chang Yan"
packages/shared/forks/ReactFeatureFlags.test-renderer.www.js,318,40,"Jack Pope, Jan Kassens, Dmytro Rykun, Sebastian Markbåge, Andrew Clark, Joseph Savona, Andrey Lunyov, Ricky, Josh Story, Sebastian Silbermann, Timothy Yung, Rubén Norte, Noah Lemen, dan, mofeiZ, Tianyu Yao, Pieter De Baets, Sophie Alpert, Samuel Susla, Lauren Tan, salazarm, David McCabe, Dan Abramov, Luna Ruan, Joey Arhar, Brian Vaughn, Benoit Girard, Rick Hanlon, Philipp Spiess, Dominic Gannaway, E-Liang Tan, Eli White, Sunil Pai, Emanuel Tesař, lunaruan, Ricky Vetter, Kevin Chavez, Héctor Ramos, Alex Taylor, Chang Yan"
packages/shared/forks/ReactFeatureFlags.native-oss.js,316,41,"Jack Pope, Timothy Yung, Dmytro Rykun, Sebastian Markbåge, Jan Kassens, Andrew Clark, Joseph Savona, Andrey Lunyov, Ricky, Josh Story, Sebastian Silbermann, Rubén Norte, Noah Lemen, dan, Samuel Susla, Tianyu Yao, Pieter De Baets, Sophie Alpert, Lauren Tan, salazarm, David McCabe, Dan Abramov, Luna Ruan, Joey Arhar, Brian Vaughn, Benoit Girard, Rick Hanlon, Philipp Spiess, Dominic Gannaway, E-Liang Tan, Eli White, Sunil Pai, Emanuel Tesař, lunaruan, Ricky Vetter, Kevin Chavez, Nathan Hunzaker, Héctor Ramos, Alex Taylor, Flarnie Marchan, Chang Yan"
scripts/fiber/tests-passing.txt,312,38,"Dan Abramov, Leslie, François Chalifour, Ian Sutherland, Sasha Aickin, Mateusz Burzyński, Brian Vaughn, Andrew Clark, Flarnie Marchan, Jason Quense, Sebastian Markbåge, Garrett McCullough, Dheeraj Kumar, Eli White, Nathan Hunzaker, Ben Alpert, Bogdan Chadkin, Dominic Gannaway, pingan1927, Edvin Erikson, Dustan Kasten, Tom Occhino, Toru Kobayashi, Philipp Spieß, Manas, Soo Jae Hwang, Abhay Nikam, Vitaliy Potapov, Brandon Dail, Arshabh Kumar Agarwal, Valentin Shergin, mdogadailo, Sean Gransee, Leland Richardson, Sebastian Markbage, Gaëtan Renaudeau, Ankeet Maini, Robin Ricard"
packages/react-reconciler/src/ReactFiberWorkLoop.new.js,303,27,"Jan Kassens, Tianyu Yao, Andrew Clark, Samuel Susla, Sebastian Markbåge, Josh Story, Victoria Graf, Lauren Tan, Luna Ruan, dan, Dan Abramov, Brian Vaughn, 180909, Joseph Savona, Bowen, salazarm, Ricky, Sebastian Silbermann, niexq, Shannon Feng, Rick Hanlon, neroneroffy, togami2864, Dominic Gannaway, Ikko Ashimine, inottn, CY Lim"
